Date,06614800,06746095,07083000,07105945,09034900,09035800,09035900,09047700,09065500,09066000,09066200,09066300,09081600,09107000,09306242,09352900,WY
1980-09-01,,-0.3949743281146796,,,,,,,,,,,,,,,1980
1980-12-01,,-1.2044714397566652,,,,,,,,,,,,,,,1981
1981-03-01,,0.3723956013085127,,,,,,,,,,,,,,,1981
1981-06-01,,0.3763288524319314,,,,,,,,,,,,,,,1981
1981-09-01,,0.09656697390029417,,,,,,,,,,,,,,,1981
1981-12-01,,0.4595484731502405,,,,,,,,,,,,,,,1982
1982-03-01,,0.2677994531845424,,,,,,,,,,,,,,,1982
1982-06-01,,-0.0496418526790727,,,,,,,,,,,,,,,1982
1982-09-01,,0.5588355798329417,,,,,,,,,,,,,,,1982
1982-12-01,,-0.36321707738713827,,,,,,,,,,,,,,,1983
1983-03-01,,1.4030561526308296,,,,,,,,,,,,,,,1983
1983-06-01,,1.9155024752238121,,,,,,,,,,,,,,,1983
1983-09-01,,0.271901948349689,,,,,,,,,,,,,,,1983
1983-12-01,,0.2143231860566124,,,,,,,,,,,,,,,1984
1984-03-01,,0.1237184874588048,,,,,,,,,,,,,,,1984
1984-06-01,,1.1174506084673113,,,,,,,,,,,,,,,1984
1984-09-01,,1.089785728082417,,,,,,,,,,,,,,,1984
1984-12-01,,-0.3829073880124475,,,,,,,,,,,,,,,1985
1985-03-01,,-0.29296641061463796,,,,,,,,,,,,,,,1985
1985-06-01,,0.07307795541408169,,,,,,,,,,,,,,,1985
1985-09-01,,1.6484378861034519,,,,,,,,,,,,,,,1985
1985-12-01,,0.6378681258350615,,,,,,,,,,,,,,,1986
1986-03-01,,-0.056674122863665015,,,,,,,,,,,,,,,1986
1986-06-01,,-0.039946783855306166,,,,,,,,,,,,,,,1986
1986-09-01,,0.21712217771058237,,,,,,,,,,,,,,,1986
1986-12-01,,-1.1711996936466733,,,,,,,,,,,,,,,1987
1987-03-01,,-0.6757437249964318,,,,,,,,,,,,,,,1987
1987-06-01,,-0.16883104896855758,,,,,,,,,,,,,,,1987
1987-09-01,,-0.7721605269298479,,,,,,,,,,,,,,,1987
1987-12-01,,0.5256980485564628,,,,,,,,,,,,,,,1988
1988-03-01,,0.008059008381442719,,,,,,,,,,,,,,,1988
